# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
DXN/VIND,Gautam Buddha Nagar,Gautam Buddha Nagar Noida International Airport
DXR/KDXR,Danbury,Danbury Municipal Airport
DXSK,Sokodé,Sokodé Airport
DYA/YDYS,Dysart,Dysart Airport
DYG/ZGDY,Zhangjiajie (Yongdi,Zhangjiajie Hehua International Airport
DYL/KDYL,Doylestown,Doylestown Airport
DYM,Diamantina Lakes,Diamantina Lakes Airport
DYR/UHMA,Anadyr,Anadyr Ugolny Yuri Ryktheu Airport
DYS/KDYS,Abilene,Abilene Dyess Air Force Base
DYU/UTDD,Dushanbe,Dushanbe International Airport
DYW/YDLW,Daly Waters,Daly Waters Airport
DZA/FMCZ,Dzaoudzi,Dzaoudzi Pamandzi International Airport
DZH/ZUDA,Dazhou (Dachuan),Dazhou Jinya Airport
DZI,Codazzi,Codazzi Las Flores Airport
DZN/UAKD,Zhezkazgan,Zhezkazgan National Airport
DZO/SUDU,Durazno,Durazno Santa Bernardina International Airport
DZU/ZUDZ,Dazu,Dazu Air Base
EAA/PAEG,Eagle,Eagle Airport
EAB/OYAB,Abs,Abs Airport
EAE/NVSE,Emae Island,Emae Island Siwo Airport
EAL,Mejato Island,Mejato Island Elenak Airport
EAM/OENG,Najran,Najran Domestic Airport
EAN/KEAN,Wheatland,Wheatland Phifer Airfield
EAR/KEAR,Kearney,Kearney Regional Airport
EAS/LESO,Hondarribia,Hondarribia San Sebastián Airport
EAT/KEAT,Wenatchee,Wenatchee Pangborn Memorial Airport
EAU/KEAU,Eau Claire,Eau Claire Chippewa Valley Regional Airport
EAX/SMEG,Kwatta,Kwatta Eduard Alexander Gummels Airport
EBA/LIRJ,Campo nell'Elba,Marina di Campo Airport
EBAM,Mont-de-l'Enclus,Mont-de-l'Enclus Amougies Airfield
EBAR,Arlon,Arlon-Sterpenich Ultralight Airfield
EBAV,Hannut,Hannut Avernas-le-Bauduin Ultralight Airfield
EBB/HUEN,Entebbe,Entebbe International Airport
EBBE,Beauvechain,Beauvechain Air Base
EBBL,Kleine Brogel,Kleine Brogel Air Base
EBBN,Büllingen,Büllingen Airfield
EBBT,Brasschaat,Brasschaat Airfield
EBBX,Bertrix,Bertrix Jehonville Air Base
EBBY,Genappe,Genappe Baisy-Thy Ultralight Airfield
EBBZ,Pont-à-Celles,Pont-à-Celles Buzet Aerodrome
EBCF,Cerfontaine,Cerfontaine Airfield
EBCV,Chièvres,Chièvres Air Base
EBD/HSOB,El-Obeid,El-Obeid Airport
EBDT,Diest,Diest Schaffen Airfield
EBFN,Koksijde,Koksijde Air Base
EBFS,Florennes,Florennes Air Base
EBG/SKEB,El Bagre,El Bagre Airport
EBGB,Grimbergen,Grimbergen Airfield
EBGG,Geraardsbergen,Geraardsbergen Overboelare Airfield
EBH/DAOY,El Bayadh,El Bayadh Airport
EBHN,Hoevenen,Hoevenen Airfield
EBIS,Isieres,Ath/Isieres Airfield
EBJ/EKEB,Esbjerg,Esbjerg Airport
EBKH,Balen,Balen-Keiheuvel Airfield
EBL/ORER,Arbil,Arbil Erbil International Airport
EBLB,Bütgenbach,Bütgenbach Elsenborn Air Base
EBLE,Leopoldsburg,Leopoldsburg Airfield
EBM/DTTR,El Borma,El Borma Airport
EBMB,Steenokkerzeel,Steenokkerzeel Melsbroek Air Base
EBMG,Doische,Doische Matagne-la-Petite Ultralight Airfield
EBML,Assesse,Assesse Maillen Ultralight Airfield
EBMO,Wevelgem,Wevelgem Moorsele Airfield
EBN,Ebadon Island,Ebadon Airport
EBNM,Namur,Namur-Suarlée Airfield
EBO,Ebon Atoll,Ebon Airport
EBS/KEBS,Webster City,Webster City Municipal Airport
EBSG,Saint Ghislain,Saint-Ghislain Airfield
EBSH,Saint Hubert,Saint Hubert Airfield
EBSL,Zutendaal,Zutendaal Air Base
EBSP,Spa,Spa-La Sauvenière Airfield
EBST,Sint-Truiden,Sint-Truiden / Brustem Airfield
EBSU,Saint Hubert,Saint Hubert Air Base
EBTN,Tienen,Tienen Goetsenhoven Airfield
EBTX,Verviers,Theux (Verviers) Airfield
EBTY,Péruwelz,Péruwelz Maubray Airfield
EBU/LFMH,Andrézieux-Bouthéon,Saint-Étienne-Bouthéon Airport
EBUL,Ursel,Ursel Air Base
EBW/FKKW,Ebolowa,Ebolowa Airport
EBWE,Weelde,Weelde Air Base
EBZH,Hasselt,Kiewit Airfield Hasselt
EBZU,Zuienkerke,Zuienkerke Sport Aviation Airfield
EBZW,Genk,Genk Zwartberg Airfield
ECA,East Tawas,East Tawas Iosco County Airport
ECG/KECG,Elizabeth City,Elizabeth City Regional Airport & Coast Guard Air Station
ECH/YECH,Echuca,Echuca Airport
ECI/MNCE,Tola,Tola Costa Esmeralda Airport
ECN/LCEN,Tymbou (Kirklar),Tymbou (Kirklar) Ercan International Airport
ECO,El Encanto,El Encanto Airport
ECP/KECP,Panama City Beach,Panama City Beach Northwest Florida Beaches International Airport
ECR/SKEH,El Charco,El Charco Airport
ECS/KECS,Newcastle,Newcastle Mondell Field
EDAB,Kubschütz,Kubschütz Bautzen Airfield
EDAD,Dessau-Roßlau,Dessau Airfield
EDAE,Siehdichum,Siehdichum Eisenhüttenstadt Airfield
EDAG,Großrückerswalde,Großrückerswalde Airfield
EDAI,Neustadt,Neustadt Sonderlandeplatz Segeletz
EDAJ,Gera,Gera-Leumnitz Airfield
EDAK,Großenhain,Großenhain Airfield
EDAM,Merseburg,Merseburg Airfield
EDAN,Neustadt-Glewe,Neustadt-Glewe Airfield
EDAO,Nordhausen,Nordhausen Airfield
EDAP,Neuhausen/Spree,Cottbus-Neuhausen Airfield
EDAQ,Landsberg,Landsberg Halle-Oppin Airfield
EDAR,Pirna,Pirna-Pratzschwitz Airfield
EDAS,Finsterwalde,Finsterwalde-Heinrichsruh Airfield
EDAT,Hoyerswerda,Hoyerswerda Nardt Airfield
EDAV,Eberswalde,Eberswalde-Finow Airfield
EDAW,Roitzschjora,Roitzschjora Airfield
EDAY,Strausberg,Strausberg Airfield
EDAZ,Trebbin,Trebbin Schönhagen Airfield
EDB/HSDB,Al Dabbah,Al Dabbah Airport
EDBA,Osthausen-Wülfersha,Osthausen-Wülfershausen Arnstadt-Alkersleben Airfield
EDBE,Brandenburg an der,Brandenburg-Mühlenfeld Airfield
EDBF,Fehrbellin,Fehrbellin Airfield
EDBG,Burg bei Magdeburg,Burg Airfield
EDBI,Zwickau,Zwickau Airfield
EDBJ,Schöngleina,Jena-Schöngleina Airfield
EDBK,Kyritz,Kyritz Airfield
EDBL,Laucha an der,Laucha Airfield
EDBM,Magdeburg,Magdeburg City Airfield
EDBO,Niedergörsdorf,Niedergörsdorf Oehna Airfield
EDBP,Pinnow,Pinnow Airfield
EDBQ,Luckaitztal,Luckaitztal Bronkow Airfield
EDBR,Rothenburg/Oberlaus,Rothenburg/Görlitz Airfield
EDBS,Kölleda,Kölleda Sömmerda-Dermsdorf Airfield
EDBT,Allstedt,Allstedt Airfield
EDBU,Pritzwalk,Pritzwalk-Sommersberg Airfield
EDBV,Stralsund,Stralsund Airfield
EDBW,Werneuchen,Werneuchen Airfield
EDBX,Görlitz,Görlitz Airfield
EDBY,Bandelin,Bandelin Schmoldow Airfield
EDBZ,Schwarzheide,Schwarzheide/Schipkau Airfield
EDCA,Anklam,Anklam Otto Lilienthal Airfield
EDCB,Ballenstedt,Ballenstedt Airfield
EDCE,Müncheberg,Müncheberg-Eggersdorf Airfield
EDCH,Zeitz,Sprossen (Zeitz) Airfield
EDCI,Großdubrau,Großdubrau Klix Airfield
EDCJ,Jahnsdorf,Chemnitz/Jahnsdorf Airfield
EDCL,Klietz,Klietz-Scharlibbe Airfield
EDCM,Kamenz,Kamenz Airfield
EDCO,Nottertal-Heilinger,Nottertal-Heilinger Höhen Obermehler-Schlotheim Airfield
EDCQ,Aschersleben,Aschersleben Airfield
EDCR,Bastorf,Bastorf Rerik-Zweedorf Airfield
EDCS,Nuthetal,Nuthetal Saarmund Airfield
EDCT,Taucha,Taucha Airfield
EDCU,Güstrow,Güstrow Airfield
EDCV,Pasewalk,Pasewalk Airfield
EDCW,Wismar,Wismar Airfield
EDCX,Klein Kussewitz,Klein Kussewitz Purkshof Airfield
EDCY,Welzow,Spremberg-Welzow Airfield
EDD/YERL,Ghan,Ghan Erldunda Airport
EDE/KEDE,Edenton,Edenton Northeastern Regional Airport
EDEB,Bad Langensalza,Bad Langensalza Airfield
EDEG,Gotha,Gotha-Ost Airfield
EDEH,Hockenheim,Hockenheim Herrenteich Airfield
EDEL,Langenlonsheim,Langenlonsheim Airfield
EDEM,Homburg (Efze),Homburg (Efze) Mosenberg Airfeld
EDEN,Bad Hersfeld,Bad Hersfeld Airfield
EDEP,Heppenheim,Heppenheim Glider Field
EDEQ,Mühlhausen,Mühlhausen Airfield
EDER,Gersfeld (Rhön),Gersfeld (Rhön) Wasserkuppe Airfield
EDEW,Walldürn,Walldürn Airfield
EDF/PAED,Anchorage,Anchorage Elmendorf Air Force Base
EDFA,Wehrheim,Wehrheim Anspach-Taunus Airfield
EDFB,Reichelsheim,Reichelsheim Airfield
EDFC,Großostheim,Großostheim Aschaffenburg Airfield
EDFD,Bad Neustadt an,Bad Neustadt/Saale-Grasberg Airfield
EDFE,Egelsbach,Frankfurt-Egelsbach Airport
EDFG,Gelnhausen,Gelnhausen Airfield
EDFI,Eschenburg,Eschenburg Hirzenhain Airfield
EDFJ,Hammelburg,Lager Hammelburg Airfield
EDFK,Bad Kissingen,Bad Kissingen Airfield
EDFL,Gießen,Gießen-Lützellinden Airfield
EDFN,Cölbe,Cölbe Marburg-Schönstadt Airfield
EDFO,Michelstadt,Michelstadt-Odenwald Airfield
EDFP,Ober-Mörlen,Ober-Mörlen Airfield
EDFQ,Allendorf (Eder),Allendorf-Eder Airfield
EDFR,Rothenburg ob der,Rothenburg ob der Tauber Airfield
EDFS,Gochsheim,Gochsheim Schweinfurt South Airfield
EDFT,Lauterbach (Hessen),Lauterbach Airfield
EDFU,Miltenberg,Miltenberg Mainbullau Airfield
EDFV,Worms,Worms Airfield
EDFW,Würzburg,Würzburg-Schenkenturm Airfield
EDFX,Hockenheim,Hockenheim Airfield
EDFY,Limburg an der Lahn,Limburg-Elz Airfield
EDFZ,Mainz,Mainz-Finthen Airfield
EDGA,Ailertchen,Ailertchen Airfield
EDGB,Breitscheid,Breitscheid Airfield
EDGF,Hosenfeld,Hosenfeld Fulda-Jossa Airfield
EDGH,Hettstadt,Hettstadt Airfield
EDGI,Ingelfingen,Ingelfingen-Bühlhof Airfield
EDGJ,Ochsenfurt,Ochsenfurt Airfield
EDGK,Korbach,Korbach Airfield
EDGM,Mosbach,Mosbach-Lohrbach Airfield
EDGP,Oppenheim,Oppenheim Airfield
EDGQ,Schameder,Schameder Airfield
EDGR,Reiskirchen,Gießen-Reiskirchen Airfield
EDGT,Bad Endbach,Bad Endbach Bottenhorn Airfield
EDGU,Boxberg,Boxberg Unterschüpf Airfield
EDGW,Wolfhagen,Wolfhagen Flugplatz „Graner Berg“
EDGX,Walldorf,Walldorf Airfield
EDGZ,Weinheim,Weinheim/Bergstraße Airfield
EDHB,Grube,Grube Airfield
EDHC,Lüchow,Lüchow-Rehbeck Airfield
EDHD,Heilbad Heiligensta,Heilbad Heiligenstadt Eichsfeld Airfield
EDHE,Heist,Uetersen-Heist Airfield
EDHG,Lüneburg,Lüneburg Airfield
EDHM,Hasenmoor,Hasenmoor Hartenholm Airfield
EDHO,Tornesch,Tornesch Ahrenlohe Airfield
EDHS,Stade,Stade Airfield
EDHU,Lauenbrück,Lauenbrück Airfield
EDHW,Wahlstedt,Wahlstedt Airfield
EDHY,Hoya,Hoya Airfield
EDI/EGPH,"Ingliston, Edinburg",Edinburgh Airport
EDJG,Grabenstätt,Grabenstätt Airfield
EDK/KEQA,El Dorado,Captain Jack Thomas El Dorado Airport
EDKB,Bonn,Bonn-Hangelar Airfield
EDKD,Iserlohn,Iserlohn Altena-Hegenscheid Airfield
EDKF,Bergneustadt,Bergneustadt-Auf dem Dümpel Airfield
EDKH,Wenden,Wenden Hünsborn Airfield
EDKI,Kirchen (Sieg),Betzdorf-Kirchen Airfield
EDKL,Leverkusen,Leverkusen Airfield
EDKM,Meschede,Meschede-Schüren Airfield
EDKN,Wipperfürth,Wipperfürth-Neye Airfield
EDKO,Brilon,Brilon-Hochsauerland Airfield
EDKP,Herscheid,Herscheid Plettenberg-Hüinghausen Airfield
EDKR,Schmallenberg,Schmallenberg-Rennefeld Airfield
EDKS,Iserlohn,Iserlohn-Sümmern Glider Field
EDKU,Attendorn,Attendorn-Finnentrop Airfield
EDKV,Dahlhem,Dahlhem Dahlemer Binz Airfield
EDKW,Neuenrade,Neuenrade Werdohl-Küntrop Airfield
EDKZ,Meinerzhagen,Meinerzhagen Airfield
EDL/HKEL,Eldoret,Eldoret International Airport
EDLA,Arnsberg,Arnsberg-Menden Airfield
EDLB,Lüdinghausen,Lüdinghausen Borkenberge Airfield
EDLC,Rheinberg,Rheinberg Kamp-Lintfort Airfield
EDLD,Hünxe,Hünxe Dinslaken-Schwarze Heide Airfield
EDLF,Grefrath,Grefrath-Niershorst Airfield
EDLG,Goch,Goch-Asperden Airfield
EDLH,Hamm,Hamm-Lippewiesen Airfield
EDLJ,Detmold,Detmold Airfield
EDLK,Krefeld,Krefeld-Egelsberg Airfield
EDLM,Marl,Marl-Loemühle Airfield
EDLO,Oerlinghausen,Oerlinghausen Airfield
EDLQ,Beelen,Beelen Airfield
EDLR,Paderborn,Paderborn-Haxterberg Airfield
EDLS,Stadtlohn,Stadtlohn-Vreden Airfield
EDLT,Telgte,Münster-Telgte Airfield
EDLU,Oelde Bergeler,Oelde Bergeler Airfield
EDLX,Wesel,Wesel-Römerwardt Airfield
EDLY,Borken,Borken-Hoxfeld Airfield
EDLZ,Bad Sassendorf,Soest-Bad Sassendorf Airfield
EDM/LFRI,La Roche-sur-Yon,La Roche-sur-Yon Les Ajoncs Airport
EDMB,Warthausen,Warthausen Biberach an der Riß Airfield
EDMC,Blaubeuren,Blaubeuren Airfield
EDMD,Bergkirchen,Bergkirchen Dachau-Gröbenried Airfield
EDME,Eggenfelden,Eggenfelden Airfield
EDMF,Fürstenzell,Fürstenzell Airfield
EDMG,Günzburg,Günzburg-Donauried Airfield
EDMH,Gunzenhausen,Gunzenhausen-Reutberg Airfield
EDMI,Illertissen,Illertissen Airfield
EDMJ,Jesenwang,Jesenwang Airfield
EDMK,Durach,Kempten-Durach Airfield
EDML,Landshut,Landshut Airfield
EDMN,Tussenhausen,Tussenhausen Mindelheim-Mattsies Airfield
EDMP,Vilsbiburg,Vilsbiburg Airfield
EDMQ,Genderkingen,Donauwörth-Genderkingen Airfield
EDMT,Tannheim,Tannheim Airfield
EDMU,Gundelfingen an,Gundelfingen Airfield
EDMV,Vilshofen an der,Vilshofen Airfield
EDMW,Deggendorf,Deggendorf Airfield
EDMY,Mühldorf am Inn,Mühldorf Airfield
EDN/UHWE,Yedinka,Yedinka Airport
EDNA,Ampfing,Ampfing-Waldkraiburg Airfield
EDNB,Arnbruck,Arnbruck Airfield
EDNC,Beilngries,Beilngries Airfield
EDND,Dinkelsbühl,Dinkelsbühl-Sinbronn Airfield
EDNE,Erbach,Erbach Airfield
EDNF,Grafenau,Grafenau Elsenthal Grafe Airfield
EDNG,Giengen an der,Giengen/Brenz Airfield
EDNH,Bad Wörishofen,Bad Wörishofen (Nord) Airfield
EDNI,Berching,Berching Airfield
EDNJ,Egweil,Neuburg-Egweil Airfield
EDNK,Kirchdorf am Inn,Kirchdorf/Inn Airfield
EDNL,Leutkirch im Allgäu,Leutkirch-Unterzeil Airfield
EDNM,Bruck in der,Nittenau-Bruck Airfield
EDNO,Nördlingen,Nördlingen Airfield
EDNP,Rahberg,Rahberg Pfarrkirchen Airfield
EDNQ,Bopfingen,Bopfingen Airfield
EDNR,Regenstauf,Regenstauf Regensburg-Oberhub Airfield
EDNS,Schwabmünchen,Schwabmünchen Airfield
EDNT,Treuchtlingen,Treuchtlingen-Bubenheim Airfield
EDNU,Thannhausen,Thannhausen Airfield
EDNV,Vogtareuth,Vogtareuth Airfield
EDNW,Weißenhorn,Weißenhorn Airfield
EDNX,Oberschleissheim,Oberschleissheim Schleissheim Airfield
EDNZ,Zell im Fichtelgebi,Zell-Haidberg Airfield
EDO/LTFD,Edremit,Edremit Balıkesir Koca Seyit Airport
EDOA,Auerbach/Vogtland,Auerbach Airfield
EDOB,Bad Berka,Bad Berka Airfield
EDOC,Gardelegen,Gardelegen Airfield
EDOD,Niederer Fläming,Niederer Fläming Reinsdorf Airfield
EDOE,Großpösna,Großpösna Böhlen Airfield
EDOF,Bad Frankenhausen,Bad Frankenhausen Airfield
EDOG,Beilrode,Torgau-Beilrode Airfield
EDOH,Oberschöna,Oberschöna Langhennersdorf Airfield
EDOI,Paulinenaue,Paulinenaue Bienenfarm Airfield
EDOJ,Bad Belzig,Bad Belzig Lüsse Airfield
EDOK,Rudolstadt,Rudolstadt-Groschwitz Airfield
EDOL,Oschersleben,Oschersleben Glider Field
EDOM,Bördeland,Bördeland Klein Mühlingen Airfield
EDON,Neuhardenberg,Neuhardenberg Marxwalde Airfield
EDOQ,Oschatz,Oschatz Airfield
EDOR,Gollenberg,Gollenberg Stölln-Rhinow Airfield
EDOS,Ilmenau,Ilmenau Pennewitz Airfield
EDOT,Greiz,Greiz-Obergrochlitz Airfield
EDOU,Umpferstedt,Weimar-Umpferstedt Airfield
EDOV,Stendal,Stendal-Borstel Airfield
EDOW,Waren,Waren-Vielist Airfield
EDOX,Sandersdorf,Sandersdorf Renneritz Airfield
EDOZ,Pömmelte,Pömmelte Schönebeck-Zackmünde Airfield
EDPA,Neresheim,Neresheim Aalen Heidenheim Elchingen Airfield
EDPB,Bad Ditzenbach,Bad Ditzenbach Airfield
EDPC,Bad Endorf,Bad Endorf/Jolling Airfield
EDPD,Dingolfing,Dingolfing Airfield
EDPE,Eichstätt,Eichstätt Airfield
EDPF,Schwandorf,Schwandorf Airfield
EDPG,Pfatter,Pfatter Griesau Airfield
EDPH,Büchenbach,Büchenbach Schwabach-Heidenberg Airfield
EDPI,Moosburg an der,Moosburg auf der Kippe Airfield
EDPJ,Laichingen,Laichingen Jakob Laur Airfield
EDPK,Kienberg,Kienberg Schönberg Airfield
EDPM,Donzdorf,Donzdorf Airfield
EDPO,Neumarkt in der,Neumarkt-Oberpfalz Airfield
EDPQ,Schmidgaden,Schmidgaden Airfield
EDPS,Waldkirchen,Waldkirchen Flugplatz Sonnen
EDPT,Gerstetten,Gerstetten Airfield
EDPU,Bartholomä,Bartholomä-Amalienhof Airfield
EDPW,Thalmässing,Thalmässing-Waizenhofen Airfield
EDPY,Ellwangen an der,Ellwangen Airfield
EDQ,Erandique,Erandique Airport
EDQA,Bamberg,Bamberg-Breitenau Airfield
EDQB,Bad Windsheim,Bad Windsheim Airfield
EDQC,Coburg,Coburg-Brandensteinsebene Airfield
EDQF,Weihenzell,Weihenzell Ansbach-Petersdorf Airfield
EDQH,Herzogenaurach,Herzogenaurach Airfield
EDQI,Schnaittach,Schnaittach Lauf-Lillinghof Airfield
EDQK,Kulmbach,Kulmbach Airfield
EDQL,Lichtenfels,Lichtenfels Airfield
EDQN,Neustadt an der,Neustadt/Aisch Airfield
EDQO,Helmbrechts,Helmbrechts Ottengrüner Heide Airfield
EDQP,Speichersdorf,Speichersdorf Rosenthal-Plössen Airfield
EDQR,Ebern,Ebern-Sendelbach Airfield
EDQS,Goldlauter-Heidersb,Suhl-Goldlauter Airfield
EDQT,Haßfurt,Haßfurt-Schweinfurt Airfield
EDQW,Weiden in der,Weiden in der Oberpfalz Airfield
EDQX,Neunkirchen am,Neunkirchen am Brand Hetzleser Berg Airfield
EDQY,Coburg,Coburg-Steinrücken Airfield
EDQZ,Pegnitz,Pegnitz-Zipser Berg Airfield
EDR/YPMP,Pormpuraaw,Pormpuraaw Airport
EDRA,Bad Neuenahr,Bad Neuenahr-Ahrweiler Airfield
EDRC,Marpingen,Marpingen Glider Airfield
EDRD,Neumagen,Neumagen-Dhron Airfield
EDRF,Bad Dürkheim,Bad Dürkheim Airfield
EDRG,Idar-Oberstein,Idar-Oberstein/Göttschied Airfield
EDRH,Hoppstädten,Hoppstädten-Weiersbach Airfield
EDRI,Linkenheim,Linkenheim Airfield
EDRJ,Saarlouis,Saarlouis-Düren Airfield
EDRK,Koblenz,Koblenz-Winningen Airfield
EDRL,Neustadt an der,Neustadt an der Weinstraße Flugplatz Lachen-Speyerdorf
EDRM,Traben-Trarbach,Traben-Trarbach/Mont Royal Airfield
EDRN,Nannhausen,Nannhausen Airfield
EDRO,Schweighofen,Schweighofen Airfield
EDRP,Battweiler,Battweiler Pirmasens-Pottschütthöhe Airfield
EDRQ,Imsweiler,Imsweiler UL
EDRS,Bad Sobernheim,Bad Sobernheim-Domberg Airfield
EDRT,Föhren,Trier-Föhren Airfield
EDRV,Wershofen,Wershofen/Eifel Airfield
EDRW,Dierdorf,Dierdorf-Wienau Airfield
EDRX,Bexbach,Bexbach Glider Field
EDRY,Speyer,Speyer Airfield
EDSA,Albstadt,Albstadt-Degerfeld Airfield
EDSD,Sindelfingen,Sindelfingen Deckenpfronn-Egelsee Airfield
EDSE,Göppingen,Göppingen-Bezgenriet Airfield
EDSF,Rickenbach,Rickenbach Hütten Glider Field
EDSG,Grabenstetten,Grabenstetten Airfield
EDSH,Backnang,Backnang-Heiningen Airfield
EDSI,Hilzingen,Hilzingen Binningen Glider Field
EDSK,Kehl,Kehl-Sundheim Airfield
EDSL,Blumberg,Blumberg Airfield
EDSM,Müllheim,Müllheim Airfield
EDSN,Neuhausen ob Eck,Neuhausen ob Eck Airfield
EDSO,Salach,Salach Gruibingen-Nortel Airfield
EDSP,Ammerbuch,Ammerbuch Poltringen Airfield
EDSR,Radolfzell am,Radolfzell-Stahlringen Airfield
EDST,Kirchheim unter,Kirchheim unter Teck Hahnweide Airfield
EDSV,Wildberg,Wildberg Wächtersberg-Hub Glider Airfield
EDSW,Kippenheim,Kippenheim Altdorf-Wallburg Airfield
EDSX,Aspach,Aspach Völkleshofen-Lichtenberg Airfield
EDSZ,Rottweil,Rottweil-Zepfenhan Airfield
EDTA,Wutöschingen,Wutöschingen Bohlhof Glider Field
EDTB,Baden-Baden,Baden-Oos Airfield
EDTC,Bruchsal,Bruchsal Airfield
EDTD,Donaueschingen,Donaueschingen-Villingen Airfield
EDTE,Eutingen im Gäu,Eutingen Airfield
EDTF,Freiburg im Breisga,Freiburg im Breisgau Airfield
EDTG,Eschbach,Eschbach Bremgarten Airfield
EDTH,Heubach,Heubach Airfield
EDTK,Sinsheim,Sinsheim Airfield
EDTM,Mengen,Mengen-Hohentengen Airfield
EDTN,Kirchheim unter,Nabern-Teck Airfield
EDTO,Offenburg,Offenburg-Baden Airfield
EDTP,Pfullendorf,Pfullendorf Airfield
EDTQ,Remseck am Neckar,Remseck am Neckar Pattonville Airfield
EDTR,Rheinfelden (Baden),Herten-Rheinfelden Airfield
EDTS,Villingen-Schwennin,Schwenningen am Neckar Airfield
EDTU,Bad Saulgau,Bad Saulgau Airfield
EDTW,Schramberg,Winzeln-Schramberg Airfield
EDTX,Schwäbisch Hall,Schwäbisch Hall-Weckrieden Airfield
EDTY,Schwäbisch Hall,Schwäbisch Hall Adolf Würth Airport
EDTZ,Konstanz,Konstanz Airfield
EDUA,Stechow-Ferchesar,Flugplatz Stechow-Ferchesar
EDUF,Mühlberg,Mühlberg Falkenberg-Lönnewitz Airfield
EDUG,Gransee,Gransee Airfield
EDUO,Hedersleben,Hedersleben Oberrißdorf Airfield
EDUP,Perleberg Glider,Perleberg Glider Field
EDUW,Tutow,Tutow-Betriebs Airfield
EDUZ,Straguth,Straguth Zerbst Airfield
EDVA,Bad Gandersheim,Bad Gandersheim Airfield
EDVC,Celle,Celle-Arloh Airfield
EDVF,Blomberg,Blomberg-Borkhausen Airfield
EDVG,Bad Arolsen,Bad Arolsen Mengeringhausen Airfield
EDVH,Hodenhagen,Hodenhagen Airfield
EDVI,Höxter,Höxter-Holzminden Airfield
EDVJ,Salzgitter,Salzgitter-Schäferstuhl Airfield
EDVL,Trendelburg,Trendelburg Hölleberg Airfield
EDVM,Hildesheim,Hildesheim Airfield
EDVN,Northeim,Northeim Airfield
EDVP,Peine,Peine-Glindbruchkippe Airfield
EDVQ,Gifhorn,Gifhorn Wilsche Glider Field
EDVR,Rinteln,Rinteln Airfield
EDVT,Ith,Ith Ithwiesen Airfield
EDVU,Uelzen,Uelzen Airfield
EDVW,Bad Pyrmont,Bad Pyrmont Airfield
EDVY,Porta Westfalica,Porta Westfalica Airfield
EDW/KEDW,Edwards,Edwards Air Force Base
EDWC,Damme,Damme Airfield
EDWF,Leer,Flugplatz Leer-Papenburg
EDWH,Hatten,Oldenburg-Hatten Airfield
EDWK,Gnarrenburg,Gnarrenburg Karlshöfen Airfield
EDWM,Hellwege,Hellwege Weser-Wümme Airfield
EDWN,Klausheide,Klausheide Nordhorn-Lingen Airfield
EDWO,Osnabrück,Osnabrück Atterheide Airfield
EDWP,Wiefelstede,Wiefelstede-Conneforde Airfield
EDWQ,Ganderkesee,Ganderkesee Atlas Airfield
EDWT,Blexen,Blexen Airfield
EDWV,Verden (Aller),Verden-Scharnhorst Airfield
EDWX,Westerstede,Westerstede-Felde Airfield
EDXA,Bramsche,Bramsche Flugplatz Achmer
EDXC,Kropp,Schleswig-Kropp Airfield
EDXD,Bohmte,Bohmte-Bad Essen Airfield
EDXE,Rheine,Rheine-Eschendorf Airfield
EDXG,Melle,Melle-Grönegau Airfield
EDXI,Balge,Balge Nienburg-Holzbalge Airfield
EDXK,Leck,Leck Airfield
EDXL,Barßel,Barßel Airfield
EDXM,Sankt Michaelisdonn,Sankt Michaelisdonn Airfield
EDXN,Wurster Nordseeküst,Wurster Nordseeküste Nordholz-Spieka Airfield
EDXP,Harlesiel,Harlesiel Harle Airfield
EDXQ,Rotenburg (Wümme),Rotenburg (Wümme) Airfield
EDXR,Hörsten,Hörsten Rendsburg-Schachtholm Airfield
EDXS,Zeven,Zeven Seedorf Airfield
EDXT,Sierksdorf,Sierksdorf/Hof Altona Airfield
EDXU,Worpswede,Worpswede Hüttenbusch Airfield
EDXZ,Geestland,Geestland Kührstedt-Bederkesa Airfield
EEA/SNCP,Correia Pinto,Correia Pinto Planalto Serrano Regional Airport
EEAA,Antsla,Antsla Airfield
EEAE,Aespa,Aespa Airfield
EED/KEED,Needles,Needles Airport
EEEI,Keila,Keila Ämari Air Base
EEHA,Humala,Humala Airfield
EEJI,Jõhvi,Jõhvi Airfield
EEK/PAEE,Eek,Eek Airport
EEKI,Karksi,Karksi Airfield
EEKO,Kose,Kose Airfield
EEKU,Saareküla,Saareküla Kihnu Airfield
EELM,Tartu,Tartu Lange Airfield (Lennundusmuuseum)
EELU,Saare,Saare Lyckholm Airstrip
EEMU,Muhu,Muhu Airfield
EEN/KEEN,Keene,Keene Dillant Hopkins Airport
EENA,Narva,Narva Airfield
EENI,Nurmsi,Nurmsi Airfield
EEPA,Paslepa,Paslepa Airfield
EERA,Rapla,Rapla Airfield
EERD,Riidaja,Riidaja Airfield
EERE,Rakvere,Rakvere Airfield
EERI,Suurküla,Suurküla Ridali Airfield
EERU,Ringsu,Ringsu Ruhnu Airfield
